title,book,page,favorite
Avalon Place,RealBk3,14,false
Avalon,ColoBk,25,false
Avalon,RealBk2,13,false
Avance,NewReal2,11,false
Ay Arriba!,RealBk1,34,false
Azule Serape,JazzLTD,16,false
B Minor Waltz,EvansBk,2,false
Ba-Lue Bolivar Ba-Lues-Are,RealBk2,20,false
Baby Breeze,JazzLTD,19,false
Baby Come To Me,NewReal3,33,false
Baby I Love You,NewReal1,13,false
Baby It's Cold Outside,NewReal2,13,false
Baby Steps,ColoBk,26,false
Baby,JazzFake,50,false
Back Talk,Library,149,false
Background Music,JazzLTD,20,false
Backstage Sally,NewReal3,35,false
Backstage Sally,RealBk2,14,false
Bad Powell,RealBk3,38,false
Bag's Groove,Library,50,false
Bags And Trane,RealBk2,15,false
Bags Groove,ColoBk,40,false
Bags' Groove,JazzFake,51,false
Bags' Groove,RealBk2,16,false
Bags' New Groove,JazzFake,51,false
Baja Bajo,NewReal2,15,false
Bakai,JazzLTD,22,false
Ballad For Anita,RealBk3,15,false
Ballad For Trane,RealBk3,16,false
Ballad For Two Musicians,NewReal3,39,false
Ballet,RealBk1,37,false
Ballin' The Jack,JazzFake,53,false
Band Aid,JazzLTD,21,false
Band Aid,Library,7,false
Barbados,JazzFake,52,false
Barbados,Library,7,false
Barbados,RealBk2,17,false
Barbara,RealBk2,18,false
Bark For Barksdale,Library,9,false
Bark for Barsdale,JazzLTD,18,false
Basie Eyes,Library,29,false
Basin Street Blues,ColoBk,27,false
Basin Street Blues,JazzFake,54,false
Basin Street Blues,NewReal1,15,false
Basin Street Blues,RealBk2,19,false
Bass Blues,NewReal2,17,false
Batter Up,JazzLTD,24,false
Batter Up,Library,5,false
Batterie,RealBk1,38,false
Baubles Bangles & Beads,ColoBk,28,false
Be Bop,RealBk2,21,false
Be My Love,RealBk3,18,false
Be-Bop,JazzFake,54,false
Bea's Flat,JazzLTD,23,false
Bea's Flat,Library,8,false
Beach Wise,JazzLTD,47,false
Beach-Wise,Library,151,false
Beatrice,ColoBk,29,false
Beatrice,JazzLTD,23,false
Beautiful Friendship,RealBk3,17,false
Beautiful Love,NewReal1,16,false
Beauty And The Beast,NewReal2,20,false
Beauty And The Blast,RealBk1,40,false
Bebop Lives,JazzFake,70,false
Beethoven's Blue 3rd,RealBk2,20,false
Before And After,Library,151,false
Below Zero,ColoBk,30,false
Bemsha Swing,JazzLTD,22,false
Beneath It All,RealBk1,41,false
Berkshire Blues,JazzLTD,25,false
Bernie's Tune,JazzFake,55,false
Bernie's Tune,Library,11,false
Bernie's Tune,NewReal1,17,false
Bernies Tune,ColoBk,31,false
Berrie's Tune,RealBk3,24,false
Besame Mucho,ColoBk,32,false
Beside Myself,RealBk3,20,false
Bess You Is My Woman Now,RealBk3,22,false
Bess You Is My Woman,JazzFake,56,false
Bessie's Blues,ColoBk,33,false
Bessie's Blues,NewReal2,21,false
Bessie's Blues,RealBk1,42,false
Best Thing For You Is Me,RealBk3,25,false
Better Git It In Your Soul,RealBk2,22,false
Better Git It In Your Soul,RealBk3,26,false
Bewitched,JazzFake,58,false
Bewitched,RealBk1,43,false
Beyond All Limits,RealBk2,23,false
Beyond The Bluebird,RealBk3,27,false
Big Bear,JazzLTD,27,false
Big Ben,JazzLTD,26,false
Big Bertha,JazzLTD,28,false
Big Nick,RealBk1,44,false
Big P,JazzFake,58,false
Big P,RealBk2,404,false
Big Push,JazzLTD,30,false
Bill Bailey,JazzFake,59,false
Bill's Belli,EvansBk,3,false
Bill's Hit Tune,EvansBk,4,false
Billie's Bounce,JazzFake,61,false
Billie's Bounce,Library,9,false
Billie's Bounce,RealBk2,24,false
Billies Bounce,ColoBk,34,false
Bills' Hit Tune,RealBk2,405,false
Bimini,Library,150,false
Bird Calls,JazzLTD,28,false
Bird Feathers,JazzFake,59,false
Bird Feathers,Library,10,false
Bird Food,NewReal1,18,false
Bird Of Beauty,NewReal3,43,false
Birdland,RealBk2,26,false
Birds Mother,JazzLTD,31,false
Birds Of A Feather,JazzFake,61,false
Birk's Works,ColoBk,35,false
Birk's Works,RealBk2,37,false
Birth Of The Blues,RealBk2,25,false
Bisquit Mix,Library,152,false
Bitter Suite In The Ozone,RealBk1,45,false
Black And Blue,NewReal2,22,false
Black And Tan Fantasy,RealBk2,28,false
Black Bats and Poles,JazzLTD,33,false
Black Coffee,NewReal2,23,false
Black Diamond,RealBk1,46,false
Black Eyes,JazzLTD,34,false
Black Ice,NewReal1,19,false
Black Monday,RealBk1,A2,false
Black Narcissus,NewReal1,21,false
Black Narcissus,RealBk1,47,false
Black Nile,NewReal3,46,false
Black Nile,RealBk1,48,false
Black Orpheus,RealBk1,49,false
Black,JazzLTD,32,false
Blame It On My Youth,NewReal1,22,false
Blessed Relief,RealBk1,50,false
Blizzard Of Lies,NewReal1,23,false
Bloomdido,JazzFake,62,false
Bloomdido,Library,10,false
Bloomdido,RealBk2,29,false
Blue 'N Boogie,JazzFake,62,false
Blue A La Mode,RealBk2,32,false
Blue And Sentimental,JazzFake,63,false
Blue And Sentimental,RealBk2,30,false
Blue Bossa,ColoBk,36,false
Blue Bossa,NewReal1,25,false
Blue Bossa,RealBk1,51,false
Blue Champagne,JazzFake,64,false
Blue Comedy,RealBk1,52,false
Blue Concept,JazzLTD,38,false
Blue Daniel,NewReal1,26,false
Blue Daniel,RealBk3,28,false
Blue Fable,JazzLTD,36,false
Blue Hawk,JazzLTD,39,false
Blue Haze,JazzFake,65,false
Blue Haze,Library,153,false
Blue In Green,EvansBk,6,false
Blue In Green,JazzFake,64,false
Blue In Green,RealBk1,53,false
Blue Lace,JazzLTD,37,false
Blue Monk,ColoBk,34,false
Blue Monk,RealBk1,54,false
Blue Moon,NewReal3,47,false
Blue Room,RealBk1,55,false
Blue Samba,JazzLTD,39,false
Blue Seven,Library,148,false
Blue Seven,RealBk2,33,false
Blue Silver,ColoBk,37,false
Blue Silver,RealBk2,35,false
Blue Skies,JazzLTD,40,false
Blue Spirits,NewReal3,49,false
Blue Train,RealBk1,58,false
Blue Trane,ColoBk,33,false
Blue Tuesday,NewReal3,54,false
Blueberry Hill,JazzFake,65,false
Bluebird,Library,21,false
Bluebird,RealBk3,29,false
Blues Backstage,RealBk3,30,false
Blues By Five,Library,148,false
Blues By Five,RealBk2,33,false
Blues Connotation,NewReal1,27,false
Blues Connotation,RealBk2,32,false
Blues For Alice,Library,21,false
Blues For Alice,NewReal2,26,false
Blues For Alice,RealBk1,57,false
Blues For Jan,ColoBk,38,false
Blues For LJ,ColoBk,39,false
Blues For Pablo,JazzFake,70,false
Blues For Philly Joe,RealBk2,34,false
Blues For Willie,ColoBk,38,false
Blues For Wood,RealBk2,34,false
Blues For Yna Yna,NewReal2,27,false
Blues In A Closet,ColoBk,40,false
Blues In A Cold Water Flat,Library,153,false
Blues In The Closet,JazzFake,66,false
Blues In The Closet,Library,155,false
Blues In The Closet,RealBk2,36,false
Blues In The Night,JazzFake,66,false
Blues Minor,ColoBk,278,false
Blues On The Corner,NewReal1,28,false
Blues Peru,JazzLTD,38,false
Blues The Most,Library,153,false
Blues Walk,ColoBk,39,false
Bluesette,JazzFake,68,false
Bluesette,RealBk1,56,false
Boardwalk,Library,154,false
Bob Movers Bossa Nova,JazzLTD,41,false
Bockhanal,JazzLTD,24,false
Bockhanal,Library,11,false
Body And Soul,ColoBk,41,false
Body And Soul,JazzFake,67,false
Body And Soul,NewReal2,29,false
Body And Soul,NewReal3,55,false
Body And Soul,RealBk1,59,false
Bohemia After Dark,RealBk2,406,false
Bolivia,NewReal2,31,false
Bolivia,RealBk3,31,false
Bones From Jones,JazzLTD,29,false
Bongo Hop,JazzLTD,47,false
Boo Boo Be Doop,Library,2,false
Boogie Down,NewReal1,29,false
Boogie Stop Shuffle,RealBk2,38,false
Boogie Woogie,JazzFake,68,false
Booker's Waltz,RealBk2,39,false
Boomerang,Library,156,false
Bop Boy,RealBk3,34,false
Bop City,JazzLTD,49,false
Bop City,Library,157,false
Bop Shop,RealBk3,32,false
Boplicity,JazzFake,70,false
Boplicity,Library,13,false
Boplicity,RealBk1,60,false
Born To Be Blue,JazzFake,71,false
Born To Be Blue,RealBk3,35,false
Bossa Rokka,RealBk3,36,false
Boston Marathon,RealBk1,61,false
Both Sides Of The Coin,NewReal1,35,false
Bottoms Up,JazzLTD,35,false
Bottoms Up,Library,12,false
Bounce,Library,22,false
Bouncin' With Bud,NewReal1,37,false
Bouncing With Bud,Library,13,false
Bouncing With Bud,RealBk2,40,false
Boy Next Door,RealBk3,37,false
Boy What A Night,JazzLTD,43,false
Brainville,RealBk1,62,false
Brazilian Beat,RealBk2,41,false
Breakfast Wine,NewReal1,39,false
Breakfast With Joe,Library,37,false
Breakin' Away,NewReal1,41,false
Breakthrough,JazzLTD,43,false
Brian's Song,RealBk2,42,false
Bridgitte,JazzLTD,45,false
Bright Blues,JazzLTD,49,false
Bright Blues,Library,157,false
Bright Boy,RealBk2,43,false
Bright moments,RealBk2,44,false
Bright Size Life,RealBk1,64,false
Brilliant Corners,RealBk2,45,false
Broadway Blues,RealBk1,65,false
Brothers Of The Bottom Row,NewReal3,58,false
Brown Gold,Library,15,false
Brown Skin Girl,RealBk2,46,false
Brownie Speaks,JazzLTD,46,false
Brownout,RealBk1,66,false
Bruh Slim,JazzLTD,48,false
Bu's Delight,NewReal3,59,false
Bud Powell,NewReal3,63,false
Bud's Blues,JazzFake,72,false
Bud's Blues,Library,14,false
Bud's Blues,RealBk3,40,false
Bud's Bubble,Library,16,false
Bud's Bubble,RealBk2,46,false
Bud's Idea,JazzLTD,48,false
Budo,JazzFake,73,false
Budo,Library,15,false
Budo,RealBk2,47,false
Buhaina's Delight,JazzLTD,50,false
Bulldog Blues,Library,23,false
Bunko,Library,6,false
Bunko,RealBk2,49,false
Bunny,Library,17,false
Busch-Wacked,RealBk3,41,false
Buster Rides Again,RealBk2,37,false
Bustin' Chops,ColoBk,34,false
Busy B's,JazzLTD,42,false
But Beautiful,JazzFake,74,false
But Beautiful,NewReal1,44,false
But Beautiful,RealBk1,67,false
But I Call It Love,JazzFake,440,false
But Not For He,RealBk2,50,false
But Not For Me,ColoBk,45,false
Butch and Butch,JazzLTD,51,false
Butterfly,NewReal3,65,false
Butterfly,RealBk1,68,false
Button Up Your Overcoat,JazzFake,73,false
Buzzy,JazzFake,74,false
Buzzy,Library,17,false
Buzzy,RealBk3,42,false
By Myself,RealBk3,43,false
Bye Bye Baby,RealBk3,44,false
Bye Bye Blackbird,ColoBk,46,false
Bye Bye Blackbird,JazzFake,75,false
Bye Bye Blackbird,NewReal2,35,false
Bye Bye Blackbird,RealBk2,51,false
Bye Bye Blues,JazzFake,75,false
Bye-Ya,JazzLTD,51,false
Byrdlike,RealBk2,407,false
C Jam Blues,RealBk2,55,false
C Minor Blues Chase,EvansBk,7,false
C.C. Rider,JazzFake,78,false
C.T.A.,JazzLTD,72,false
Cady and Carole,JazzLTD,54,false
Caf‚,NewReal2,37,false
Cairo,Library,23,false
Caldonia,JazzFake,76,false
Call For All Demons,RealBk1,1,false
Can't Help Lovin' Dat Man,JazzFake,76,false
Can't We Be Friends,RealBk2,52,false
Candy,JazzFake,77,false
Cantaloupe Island,ColoBk,47,false
Cantelope Island,JazzLTD,62,false
Canyon Song,RealBk1,72,false
Capim,NewReal2,39,false
Captain Ahab,Library,158,false
Captain Marvel,RealBk1,70,false
Caravan,ColoBk,48,false
Caravan,NewReal3,73,false
Caravan,RealBk2,53,false
Careful,RealBk2,54,false
Careful,RealBk3,45,false
Careless Love,RealBk2,55,false
Cariba,JazzLTD,88,false
Caribbean Cutie,Library,159,false
Carioca,JazzFake,9,false
Carnival,EvansBk,8,false
Casa de Luz,JazzLTD,56,false
Casa De Luz,Library,18,false
Casa Forte,NewReal2,41,false
Cascades,JazzLTD,53,false
Cat,JazzLTD,55,false
Catch Me,RealBk2,56,false
Catch The Wind,EvansBk,10,false
Cathy,JazzLTD,52,false
Cedar's Blues,ColoBk,49,false
Celia,RealBk3,46,false
Centerpiece,ColoBk,50,false
Central Park West,NewReal2,43,false
Central Park West,RealBk1,156,false
Ceora,ColoBk,51,false
Ceora,NewReal3,76,false
Ceora,RealBk1,73,false
Chain Of Fools,NewReal1,45,false
Chairs And Children,NewReal3,77,false
Chameleon,RealBk2,58,false
Chan's Song,NewReal3,257,false
Change Of Mind,NewReal1,47,false
Charcoal Blues,JazzLTD,54,false
Chariots,RealBk3,49,false
Charles Christopher Parker,JazzLTD,63,false
Charles Mingus,JazzLTD,256,false
Charles Mingus,JazzLTD,257,false
Charmaine,JazzFake,80,false
Charmed Circle,NewReal2,45,false
Chase The,RealBk2,59,false
Chasin' The Train,RealBk2,62,false
Chasing The Bird,JazzFake,81,false
Chasing the Bird,JazzLTD,52,false
Cheese Cake,RealBk2,60,false
Chega De Saudade,JazzFake,82,false
Chega De Saudade,NewReal1,49,false
Chega De Saudade,RealBk1,74,false
Chelsea Bells,RealBk1,76,false
Chelsea Bridge,JazzFake,83,false
Chelsea Bridge,NewReal1,51,false
Chelsea Bridge,RealBk1,77,false
Cherokee,ColoBk,52,false
Cherokee,JazzFake,83,false
Cherokee,NewReal2,47,false
Cherokee,RealBk1,78,false
Cheryl,JazzFake,84,false
Cheryl,Library,18,false
Cheryl,RealBk3,53,false
Cheshire Cat Walk,JazzLTD,57,false
Chesney,JazzLTD,58,false
Chick's Tune,NewReal3,79,false
Chicken Feathers,RealBk1,79,false
Chief Crazy Horse,JazzLTD,59,false
Child Is Born,NewReal2,48,false
Child Is Born,RealBk1,2,false
Children Of The Night,JazzLTD,70,false
Children's Play Song,EvansBk,12,false
Children's Song,RealBk1,80,false
Chippie,RealBk1,85,false
Choices,NewReal2,49,false
Choo Choo Ch' Boogie,JazzFake,84,false
Christmas Song,ColoBk,279,false
Chromatic Tune,EvansBk,11,false
Chromazone,NewReal2,51,false
Chronic Blues,JazzLTD,60,false
Chuckles,Library,159,false
CIA,JazzLTD,72,false
Circle,RealBk2,61,false
Circling The Blues,Library,158,false
Circular Motion,NewReal3,81,false
Circumstantial,JazzLTD,61,false
Cirrus,NewReal3,85,false
Clockwise,NewReal2,55,false
Close As Pages In A Book,JazzFake,86,false
Close Enough For Love,RealBk3,54,false
Close Your Eyes,NewReal3,89,false
Cohn My Way,Library,29,false
Cold Duck Time,NewReal2,56,false
Colors Of Chloe,RealBk1,82,false
Come Rain Or Come Shine,JazzFake,86,false
Come Rain Or Come Shine,RealBk2,63,false
Come Sunday,JazzFake,87,false
Come Sunday,NewReal1,52,false
Come Sunday,RealBk1,88,false
Comin' Down,JazzLTD,64,false
Comin' Home Baby,RealBk2,64,false
Comin' On The Hudson,JazzLTD,61,false
Como En Vietnam,RealBk1,86,false
Compared To What,NewReal1,53,false
Compensation,RealBk3,55,false
Comrad Conrad,JazzLTD,65,false
Comrade Conrad,EvansBk,14,false
Con Alma,ColoBk,53,false
Con Alma,RealBk1,89,false
Conception,RealBk1,90,false
Cone Pone,Library,24,false
Conference Of The Birds,RealBk1,91,false
Confessin,RealBk2,65,false
Confirmation,ColoBk,54,false
Confirmation,JazzFake,88,false
Confirmation,Library,20,false
Confirmation,RealBk1,92,false
Connies Bounce,JazzLTD,67,false
Consternation,JazzLTD,69,false
Contemplation,JazzLTD,66,false
Contemplation,RealBk1,A3,false
Contours,Library,26,false
Cookin' At The Continental,JazzLTD,64,false
Cookin',RealBk2,66,false
Cool Blues,Library,33,false
Cool Blues,RealBk2,64,false
Cool Cat On A Hot Tin Roof,Library,161,false
Cool Eyes,RealBk3,56,false
Cool Green,NewReal3,90,false
Cool Mix,Library,27,false
Cool,Library,27,false
Cooling It,Library,163,false
Coral,ColoBk,74,false
Coral,RealBk1,93,false
Corcovado,JazzFake,309,false
Corcovado,RealBk1,94,false
Corea,JazzLTD,332,false
Cork N Bib,RealBk2,70,false
Corner Pocket,ColoBk,55,false
Cote D'azur,ColoBk,73,false
Cottontail,ColoBk,56,false
Cottontail,RealBk1,95,false
Could It Be You,RealBk1,96,false
Count Every Star,JazzFake,89,false
Countdown,RealBk1,97,false
Country Roads,RealBk1,98,false
Cousin Mary,RealBk2,62,false
Crazeology,Library,163,false
Crazeology,RealBk2,67,false
Crazy Rhythm,JazzFake,91,false
Creepin' In,Library,162,false
Creepin,NewReal3,91,false
Crepuscule With Nellis,JazzLTD,62,false
Crescent City,JazzLTD,71,false
Crescent,RealBk1,99,false
Crisis,JazzLTD,56,false
Criss Cross,Library,164,false
Criss Cross,NewReal2,57,false
Criss/Cross,RealBk2,68,false
Cruising,Library,160,false
Cry Me A River,JazzFake,92,false
Cry Me A River,RealBk3,58,false
Crystal Silence,RealBk1,100,false
Crystal,NewReal1,57,false
Cubano Chant,NewReal1,59,false
Cunga Black,JazzLTD,73,false
Cute,JazzFake,91,false
Cute,RealBk2,69,false
Cyclic Episode,JazzLTD,13,false
Cynthia,NewReal3,95,false
D Minor Mint,NewReal3,94,false
D'Jango,Library,38,false
D.C. Farewell,JazzFake,93,false
Daa Houd,Library,30,false
Daahoud,JazzFake,93,false
Daahoud,RealBk1,101,false
Dacapolypso,RealBk3,60,false
Daddy's Girl Cynthia,NewReal3,95,false
Dahomey Dance,JazzLTD,74,false
Dakar,JazzLTD,75,false
Dance Cadaverous,ColoBk,57,false
Dance Cadaverous,JazzLTD,76,false
Dance Of The Infidels,ColoBk,58,false
Dance Of The Infidels,JazzLTD,74,false
Dancing In The Street,NewReal3,97,false
Dancing On The Ceiling,RealBk1,102,false
Darius Dance,NewReal3,99,false
Darn That Dream,ColoBk,61,false
Darn That Dream,JazzFake,94,false
Darn That Dream,NewReal1,61,false
Darn That Dream,RealBk1,103,false
Dat Dere,JazzLTD,77,false
Day By Day,NewReal2,60,false
Day Dream,NewReal3,101,false
Day Dream,RealBk3,59,false
Day In Day Out,RealBk3,62,false
Day In Vienna,RealBk2,71,false
Day Waves,RealBk1,106,false
Days And Nights Waiting,RealBk1,104,false
Days Of Wine And Roses,ColoBk,59,false
Days Of Wine And Roses,RealBk1,105,false
Dear Lord,NewReal2,61,false
Dear Old Stockholm,JazzLTD,78,false
Dear Old Stockholm,Library,28,false
Dear Old Stockholm,RealBk1,108,false
Dearly Beloved,ColoBk,62,false
Dearly Beloved,JazzFake,96,false
Dearly Beloved,NewReal1,62,false
Dearly Beloved,RealBk1,107,false
Debbie,Library,165,false
Deception,JazzLTD,79,false
Decidedly,JazzLTD,80,false
Decision,RealBk2,40,false
Dee Song,NewReal2,63,false
Dee's Dilemma,JazzLTD,81,false
Deed I Do,JazzFake,96,false
Deep Purple,RealBk2,72,false
Deja Vu,JazzLTD,82,false
Del Sasser,JazzLTD,83,false
Delevans,NewReal1,63,false
Delgado,NewReal2,66,false
Delilah,Library,37,false
Delores,RealBk1,109,false
Deltitnu,JazzLTD,293,false
Deluge,RealBk1,116,false
Desafinado,JazzFake,97,false
Desafinado,NewReal1,65,false
Desafinado,RealBk1,112,false
Desert Air,RealBk1,114,false
Desert Moonlight,JazzLTD,84,false
Desire,NewReal1,67,false
Detour Ahead,NewReal2,68,false
Devil May Cape,NewReal2,69,false
Dewey Square,JazzFake,95,false
Dewey Square,RealBk2,73,false
Dexter,JazzLTD,85,false
Dexter,NewReal3,102,false
Dexterity,Library,35,false
Dexterity,RealBk1,117,false
Diablo's Dance,Library,31,false
Diane,RealBk2,74,false
Did You Call Her Today,JazzLTD,87,false
Didi,Library,32,false
Dienda,NewReal3,104,false
Dig,NewReal1,70,false
Dig,RealBk3,64,false
Digits,Library,165,false
Dilemma,JazzLTD,86,false
Dimples,JazzLTD,86,false
Dinah,JazzFake,98,false
Dindi,NewReal1,71,false
Dindi,RealBk2,75,false
Displacement,EvansBk,15,false
Dizzy Atmosphere,JazzFake,98,false
Dizzy Atmosphere,Library,35,false
Dizzy's Business,JazzLTD,89,false
Django,JazzFake,100,false
Django,NewReal2,71,false
Django,RealBk1,120,false
Do Nothin' Till You Hear From Me,JazzFake,99,false
Do Nothing 'Til You Hear From Me,NewReal1,431,false
Do Nothing Till You Hear From Me,RealBk2,77,false
Do You Know What It Means To Miss New Or,JazzFake,100,false
Do You Know What It Means To Miss New Or,RealBk2,80,false
Doce Presenca,NewReal2,73,false
Doggin' Around,Library,166,false
Dogs In The Wine Shop,NewReal2,75,false
Doin' The Pig,RealBk1,118,false
Doin' The Thing,Library,169,false
Doin' The Things,JazzLTD,90,false
Dolphin Dance,NewReal3,108,false
Dolphin Dance,RealBk1,122,false
Dolphin The,RealBk1,121,false
