 title,attribution,book,page,favorite
"At Last","",JazzLTD,15,false
"At Last","",Standard,46,false
"At Long Last Love","",HLBook,34,false
"At Long Last Love","",Standard,48,false
"Au Privave","",JazzFake,50,false
"Au Privave","",Library,1,false
"Au Privave","",RealBk1,32,false
"Au Privave","Charlie Parker",openbook jazz standards,24,false
"Auf Der Reeperbuhn Nachts um Hulheins","",TheBook,456,false
"Auld Lang Syne","",TheBook,325,false
"Aunt Hagar's Blues","",HLBook,35,false
"Aura","",NewReal3,212,false
"Autumn In 3","",RealBk3,12,false
"Autumn in New York","",HLBook,36,false
"Autumn In New York","",RealBk1,33,false
"Autumn In New York","",TheBook,145,false
"Autumn In New York","Vernon Duke",openbook jazz standards,25,false
"Autumn Leaves (Les Feuilles Mortes)","",BluesBk,11,false
"Autumn Leaves","",ColoBk,23,false
"Autumn Leaves","",JazzFake,50,false
"Autumn Leaves","",NewReal1,12,false
"Autumn Leaves","",RealBk1,36,false
"Autumn Leaves","",TheBook,428,false
"Autumn Leaves","Joseph Kosma, Jacques Prevert, Johnny Mercer",openbook jazz standards,26,false
"Autumn Liebs","",JazzLTD,16,false
"Autumn Nocturne","",RealBk3,13,false
"Autumn Nocturne","",Standard,50,false
"Autumn Serenade","",NewReal3,27,false
"Avalon Place","",RealBk3,14,false
"Avalon","",ColoBk,25,false
"Avalon","",RealBk2,13,false
"Avance","",NewReal2,11,false
"Ay Arriba!","",RealBk1,34,false
"Azule Serape","",JazzLTD,16,false
"B Minor Waltz","",EvansBk,2,false
"Ba-Lue Bolivar Ba-Lues-Are","",RealBk2,20,false
"Baby Breeze","",JazzLTD,19,false
"Baby Come To Me","",NewReal3,33,false
"Baby Doll","",BluesBk,12,false
"Baby Face","",TheBook,225,false
"Baby I Love You","",NewReal1,13,false
"Baby It's Cold Outside","",NewReal2,13,false
"Baby Steps","",ColoBk,26,false
"Baby What You Want Me To Do?","",BluesBk,16,false
"Baby Won't You Please Come Home","",JazzFake,50,false
"Back Door Man","",BluesBk,14,false
"Back Home In Indiana","",TheBook,402,false
"Back Talk","",Library,149,false
"Background Music","",JazzLTD,20,false
"Backstage Sally","",NewReal3,35,false
"Backstage Sally","",RealBk2,14,false
"Backwater Blues","",BluesBk,17,false
"Bad Powell","",RealBk3,38,false
"Bags And Trane","",RealBk2,15,false
"Bags' Groove","",ColoBk,40,false
"Bags' Groove","",JazzFake,51,false
"Bags' Groove","",Library,50,false
"Bags' Groove","",RealBk2,16,false
"Bags' Groove","",Standard,52,false
"Bags' New Groove","",JazzFake,51,false
"Baja Bajo","",HLBook,37,false
"Baja Bajo","",NewReal2,15,false
"Bakai","",JazzLTD,22,false
"Ballad For Anita","",RealBk3,15,false
"Ballad For Trane","",RealBk3,16,false
"Ballad For Two Musicians","",NewReal3,39,false
"Ballet","",RealBk1,37,false
"Ballin' The Jack","",JazzFake,53,false
"Baltimore Oriole","",Standard,54,false
"Band Aid","",JazzLTD,21,false
"Band Aid","",Library,7,false
"Barbados","",JazzFake,52,false
"Barbados","",Library,7,false
"Barbados","",RealBk2,17,false
"Barbara","",RealBk2,18,false
"Bark for Barksdale","",HLBook,36,false
"Bark for Barksdale","",JazzLTD,18,false
"Bark For Barksdale","",Library,9,false
"Bashana","",TheBook,314,false
"Basic Rhythm For Bossa Nova","",TheBook,250,false
"Basic Rhythm For Calypso","",TheBook,286,false
"Basic Rhythm For Cha Cha","",TheBook,270,false
"Basic Rhythm For Hora","",TheBook,304,false
"Basic Rhythm For Mambo","",TheBook,296,false
"Basic Rhythm For Merengue","",TheBook,276,false
"Basic Rhythm For Paso Doble","",TheBook,298,false
"Basic Rhythm For Samba","",TheBook,282,false
"Basic Rhythm For Slow Rhumba(Bolero)","",TheBook,261,false
"Basic Rhythm For Tango","",TheBook,290,false
"Basie Eyes","",Library,29,false
"Basin Street Blues","",ColoBk,27,false
"Basin Street Blues","",JazzFake,54,false
"Basin Street Blues","",NewReal1,15,false
"Basin Street Blues","",RealBk2,19,false
"Basin Street Blues","",TheBook,409,false
"Bass Blues","",NewReal2,17,false
"Bass Desires","",HLBook,38,false
"Batter Up","",JazzLTD,24,false
"Batter Up","",Library,5,false
"Batterie","",RealBk1,38,false
"Baubles Bangles & Beads","",ColoBk,28,false
"Be Bop","",RealBk2,21,false
"Be My Love","",RealBk3,18,false
"Be-Bop","",JazzFake,54,false
"Bea's Flat","",JazzLTD,23,false
"Bea's Flat","",Library,8,false
"Beach-Wise","",JazzLTD,47,false
"Beach-Wise","",Library,151,false
"Beatrice","",ColoBk,29,false
"Beatrice","",JazzLTD,23,false
"Beautiful Love","",HLBook,40,false
"Beautiful Love","",NewReal1,16,false
"Beauty And The Beast","",NewReal2,20,false
"Beauty And The Beast","",RealBk1,40,false
"Bebop Lives","",JazzFake,70,false
"Beer Barrel Polka","",TheBook,420,false
"Beethoven's Blue 3rd","",RealBk2,20,false
"Before And After","",Library,151,false
"Before You Go","",HLBook,40,false
"Begin The Beguine","",Standard,57,false
"Behind Closed Doors","",BluesBk,22,false
"Believe It Or Not","",TheBook,35,false
"Below Zero","",ColoBk,30,false
"Bemsha Swing","",JazzLTD,22,false
"Beneath It All","",RealBk1,41,false
"Bericho Viejo","",TheBook,293,false
"Berkshire Blues","",JazzLTD,25,false
"Bernie's Tune","",ColoBk,31,false
"Bernie's Tune","",JazzFake,55,false
"Bernie's Tune","",Library,11,false
"Bernie's Tune","",NewReal1,17,false
"Bernie's Tune","",RealBk3,24,false
"Besame Mucho (Kiss Me Much)","",HLBook,41,false
"Besame Mucho","",ColoBk,32,false
"Beside Myself","",RealBk3,20,false
"Bess You Is My Woman Now","",RealBk3,22,false
"Bess You Is My Woman","",JazzFake,56,false
"Bess You Is My Woman","",Standard,59,false
"Bessie's Blues","",ColoBk,33,false
"Bessie's Blues","",HLBook,42,false
"Bessie's Blues","",NewReal2,21,false
"Bessie's Blues","",RealBk1,42,false
"Bessies's Blues","John Coltrane",openbook jazz standards,27,false
"Best That You Can Do","",TheBook,32,false
"Best Thing For You Is Me","",RealBk3,25,false
"Better Git It In Your Soul","",RealBk2,22,false
"Better Git It In Your Soul","",RealBk3,26,false
"Better Luck Next Time","",HLBook,43,false
"Between the Devil and the Deep Blue Sea","",HLBook,44,false
"Bewitched","",JazzFake,58,false
"Bewitched","",RealBk1,43,false
"Bewitched","",Standard,63,false
"Bewitched","Richard Rodgers, Lorenz Hart",openbook jazz standards,28,false
"Beyond All Limits","",RealBk2,23,false
"Beyond The Bluebird","",RealBk3,27,false
"Beyond The Reef","",TheBook,509,false
"Bidin' My Time","",Standard,65,false
"Big Bear","",JazzLTD,27,false
"Big Ben","",JazzLTD,26,false
"Big Bertha","",JazzLTD,28,false
"Big Nick","",HLBook,43,false
"Big Nick","",RealBk1,44,false
"Big P","",JazzFake,58,false
"Big P","",RealBk2,404,false
"Big Push","",JazzLTD,30,false
"Big Spender","",BluesBk,18,false
"Bijou","",HLBook,44,false
"Bill Bailey","",JazzFake,59,false
"Bill Bailey","",TheBook,405,false
"Bill","",HLBook,45,false
"Bill's Belli","",EvansBk,3,false
"Bill's Hit Tune","",EvansBk,4,false
"Billie's Bounce","",ColoBk,34,false
"Billie's Bounce","",JazzFake,61,false
"Billie's Bounce","",Library,9,false
"Billie's Bounce","",RealBk2,24,false
"Billie's Bounce","Charlie Parker",openbook jazz standards,29,false
"Bills' Hit Tune","",RealBk2,405,false
"Bimini","",Library,150,false
"Bird Calls","",JazzLTD,28,false
"Bird Feathers","",JazzFake,59,false
"Bird Feathers","",Library,10,false
"Bird Food","",NewReal1,18,false
"Bird Of Beauty","",NewReal3,43,false
"Birdland","",RealBk2,26,false
"Birds Mother","",JazzLTD,31,false
"Birds Of A Feather","",JazzFake,61,false
"Birk's Works","",ColoBk,35,false
"Birk's Works","",HLBook,46,false
"Birk's Works","",RealBk2,37,false
"Birth Of The Blues","",RealBk2,25,false
"Bisquit Mix","",Library,152,false
"Bitter Suite In The Ozone","",RealBk1,45,false
"Black And Blue","",NewReal2,22,false
"Black and Tan Fantasy","",HLBook,47,false
"Black And Tan Fantasy","",RealBk2,28,false
"Black Bats and Poles","",JazzLTD,33,false
"Black Coffee","",BluesBk,20,false
"Black Coffee","",HLBook,48,false
"Black Coffee","",NewReal2,23,false
"Black Diamond","",RealBk1,46,false
"Black Eyes","",JazzLTD,34,false
"Black Ice","",NewReal1,19,false
"Black Market","",HLBook,50,false
"Black Monday","",RealBk1,A2,false
"Black Narcissus","",NewReal1,21,false
"Black Narcissus","",RealBk1,47,false
"Black Nile","",NewReal3,46,false
"Black Nile","",RealBk1,48,false
"Black Orpheus","",HLBook,49,false
"Black Orpheus","",RealBk1,49,false
"Black","",JazzLTD,32,false
"Blackberry Winter","",HLBook,51,false
"Blackberry Winter","",Standard,67,false
"Blame It on My Youth","",HLBook,52,false
"Blame It On My Youth","",NewReal1,22,false
"Blessed Relief","",RealBk1,50,false
"Blizzard Of Lies","",NewReal1,23,false
"Bloomdido","",JazzFake,62,false
"Bloomdido","",Library,10,false
"Bloomdido","",RealBk2,29,false
"Blue 'N Boogie","",JazzFake,62,false
"Blue A La Mode","",RealBk2,32,false
"Blue And Sentimental","",JazzFake,63,false
"Blue And Sentimental","",RealBk2,30,false
"Blue And Sentimental","",Standard,69,false
"Blue Bossa","",ColoBk,36,false
"Blue Bossa","",NewReal1,25,false
"Blue Bossa","",RealBk1,51,false
"Blue Bossa","Kenny Dorham, Joan Cartwright",openbook jazz standards,30,false
"Blue Champagne","",JazzFake,64,false
"Blue Comedy","",RealBk1,52,false
"Blue Concept","",JazzLTD,38,false
"Blue Daniel","",NewReal1,26,false
"Blue Daniel","",RealBk3,28,false
"Blue Fable","",JazzLTD,36,false
"Blue Flame","",HLBook,47,false
"Blue Gardenia","",Standard,70,false
"Blue Hawk","",JazzLTD,39,false
"Blue Haze","",BluesBk,23,false
"Blue Haze","",JazzFake,65,false
"Blue Haze","",Library,153,false
"Blue In Green","",EvansBk,6,false
"Blue In Green","",JazzFake,64,false
"Blue In Green","",RealBk1,53,false
"Blue In Green","Miles Davis, Bill Evans",openbook jazz standards,31,false
"Blue Lace","",JazzLTD,37,false
"Blue Monk","",BluesBk,25,false
"Blue Monk","",ColoBk,34,false
"Blue Monk","",RealBk1,54,false
"Blue Monk","Thelonius Monk",openbook jazz standards,32,false
"Blue Moon","",NewReal3,47,false
"Blue Prelude","",HLBook,53,false
"Blue Room","",RealBk1,55,false
"Blue Room","",Standard,72,false
"Blue Room","Richard Rodgers, Lorenz Hart",openbook jazz standards,33,false
"Blue Samba","",JazzLTD,39,false
"Blue Seven","",Library,148,false
"Blue Seven","",RealBk2,33,false
"Blue Silver","",ColoBk,37,false
"Blue Silver","",RealBk2,35,false
"Blue Skies","",JazzLTD,40,false
"Blue Skies","Irving Berlin",openbook jazz standards,34,false
"Blue Spirits","",NewReal3,49,false
"Blue Star","",HLBook,53,false
"Blue Train (Blue Trane)","",HLBook,52,false
"Blue Train Blues (Ticket Agent Take Your Window Down)","",BluesBk,26,false
"Blue Train","",RealBk1,58,false
"Blue Trane","",ColoBk,33,false
"Blue Trane","John Coltrane",openbook jazz standards,35,false
"Blue Tuesday","",NewReal3,54,false
"Blueberry Hill","",JazzFake,65,false
"Bluebird","",Library,21,false
"Bluebird","",RealBk3,29,false
"Blueport","",HLBook,55,false
"Blues (From “An American In Paris’)","",BluesBk,28,false
"Blues Ain't Nothing","",BluesBk,29,false
"Blues And Booze","",BluesBk,30,false
"Blues Around My Bed","",BluesBk,31,false
"Blues Backstage","",RealBk3,30,false
"Blues By Five","",Library,148,false
"Blues By Five","",RealBk2,33,false
"Blues Connotation","",NewReal1,27,false
"Blues Connotation","",RealBk2,32,false
"Blues for Alice","",HLBook,54,false
"Blues For Alice","",Library,21,false
"Blues For Alice","",NewReal2,26,false
"Blues For Alice","",RealBk1,57,false
"Blues For Alice","Charlie Parker",openbook jazz standards,36,false
"Blues for D.P.","",HLBook,56,false
"Blues For Jan","",ColoBk,38,false
"Blues for Junior (Pyramid)","",HLBook,57,false
"Blues For LJ","",ColoBk,39,false
"Blues For Pablo","",JazzFake,70,false
"Blues For Philly Joe","",RealBk2,34,false
"Blues for Rosalinda","",HLBook,58,false
"Blues For Willie","",ColoBk,38,false
"Blues For Wood","",RealBk2,34,false
"Blues For Yna Yna","",NewReal2,27,false
"Blues In A Closet","",ColoBk,40,false
"Blues In A Cold Water Flat","",Library,153,false
"Blues In The Closet","",JazzFake,66,false
"Blues In The Closet","",Library,155,false
"Blues In The Closet","",RealBk2,36,false
"Blues In The Night","",JazzFake,66,false
"Blues In The Night","",Standard,74,false
"Blues in Time","",HLBook,55,false
"Blues March","",HLBook,56,false
"Blues Minor","",ColoBk,278,false
"Blues My Naughty Sweetie Gives To Me","",BluesBk,34,false
"Blues On The Corner","",NewReal1,28,false
"Blues on Time","",HLBook,63,false
"Blues Peru","",JazzLTD,38,false
"Blues Stay Away From Me","",BluesBk,36,false
"Blues The Most","",Library,153,false
"Blues Walk","",ColoBk,39,false
"Bluesette","",BluesBk,37,false
"Bluesette","",JazzFake,68,false
"Bluesette","",RealBk1,56,false
"Bluesette","",Standard,76,false
"Bluesette","",TheBook,358,false
"Bluesette","Jean 'Toots' Thielemans, Norman Gimbel",openbook jazz standards,37,false
"Bluish Grey","",HLBook,63,false
"Boardwalk","",Library,154,false
"Bob Movers Bossa Nova","",JazzLTD,41,false
"Bockhanal","",JazzLTD,24,false
"Bockhanal","",Library,11,false
"Body And Soul","",BluesBk,40,false
"Body And Soul","",ColoBk,41,false
"Body And Soul","",JazzFake,67,false
"Body And Soul","",NewReal2,29,false
"Body And Soul","",NewReal3,55,false
"Body And Soul","",RealBk1,59,false
"Body And Soul","",TheBook,146,false
"Body And Soul","John Green, Edward Heyman, Robert Sour, Frank Eyton",openbook jazz standards,39,false
"Bohemia After Dark","",RealBk2,406,false
"Bolivia","",NewReal2,31,false
